name,pm_2.5,temp_f,model,hidden,flagged,downgraded,age,is_owner,1week_avg,fips_id,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,Pct_AO0,Pct_AO1,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,Low_transit_flag_dist,Low_transit_flag_freq,Pct_Water,Pct_Land,Pct_Unpr,Log_Acres,log_TotPop,Pct_HH_occupied,log_D2A_JPHH,log_D2A_WRKEMP,Pct_Workers,pct_E5_Ret,pct_E5_Off,pct_E5_Ind,pct_E5_Svc,pct_E5_Ent,pct_E8_Ret,pct_E8_off,pct_E8_Ind,pct_E8_Svc,pct_E8_Ent,pct_E8_Ed,pct_E8_Hlth,pct_E8_Pub,log_D3AAO,log_D3AMM,log_D3APO,log_D3B,log_D3BAO,log_D3BMM3,log_D3BMM4,log_D3BPO3,log_D3BPO4,log_D4A,log_D4C,log_D4D,log_D4E,log_D5AE,log_D5BR,log_D5BE,log_D5CR,pow_D5CRI,pow_D5CE,pow_D5CEI,pow_D5DR,pow_D5DRI,pow_D5DE,pow_D5DEI,pow_D2A_Ranked,log_1week_avg
003 FK Parking Lot,0.17,135.0,PMS5003+PMS5003+BME280,False,False,False,0,False,8.93,60710008083,6,71,808,3,348.0,"Los Angeles-Long Beach, CA",40140.0,"Riverside-San Bernardino-Ontario, CA",4518699,1439654,1749931,102.6888296,0.0,102.6888296,102.68883,1356,380.0,359.0,0.555,0.019498607,0.306406685,0.674094708,448,117,136,195,0.261160714,585,44,14,14,421,92,44,9,14,77,92,61,283,5,150,216,219,0.256410256,3.70049985,13.20494157,5.696822137,0.42847893,0.136334205,0.136334205,4.099764307,0.89591049,0.42847893,0.087643417,0.136334205,0.749838127,0.89591049,0.594027607,2.755898572,0.048690787,9.397321987,1.629526462,0.559777115,0.559777115,0.737556038,0.737556038,0.682299371,0.605274951,0.66862978,0.457875386,0.602782071,0.867376573,0.765811966,0.791213027,27.20696178,0.0,5.350424298,21.85653749,214.064958,0.0,68.55662906,31.16210412,186.9726247,12.46484165,551.2,0.0,0.0,4.0,24.9296833,0.002949853,87557,86344,48836,29298,0.000679582,0.568341588,0.000635208,0.603475028,0.001306237,0.080022285,0.000859541,0.086565991,16,17,19,15,16.83333333,3002.787752,415575.8064,False,False,0.0,1.0,1.000000003895263,4.641394391014921,7.213031659834869,0.9447368421052632,0.9668037775067981,0.568610621994268,0.3303834808259587,0.07521367521367521,0.023931623931623933,0.023931623931623933,0.7196581196581197,0.15726495726495726,0.07521367521367521,0.015384615384615385,0.023931623931623933,0.13162393162393163,0.15726495726495726,0.10427350427350428,0.48376068376068376,0.008547008547008548,3.3395688191074866,0.0,1.8485216292550155,3.129237181015285,5.370940112728073,0.0,4.242141227414748,3.4707888687874533,5.2362963389294315,2.6000819660755847,1.6094379124341003,3.2553883858238453,0.002945510720933284,11.36610617801877,10.796243501276619,10.285308664729895,0.0006793511887168471,0.9450633985086343,0.4789515641517236,0.9507491161653673,0.5147569253020405,0.7768212457278587,0.49365854600060727,0.7829512656972486,1.3195079107728942,2.295560478057081
005- FK Shelby Forest,0.0,87.0,PMS5003+PMS5003+BME280,False,False,False,1297,False,0.01,60710008083,6,71,808,3,348.0,"Los Angeles-Long Beach, CA",40140.0,"Riverside-San Bernardino-Ontario, CA",4518699,1439654,1749931,102.6888296,0.0,102.6888296,102.68883,1356,380.0,359.0,0.555,0.019498607,0.306406685,0.674094708,448,117,136,195,0.261160714,585,44,14,14,421,92,44,9,14,77,92,61,283,5,150,216,219,0.256410256,3.70049985,13.20494157,5.696822137,0.42847893,0.136334205,0.136334205,4.099764307,0.89591049,0.42847893,0.087643417,0.136334205,0.749838127,0.89591049,0.594027607,2.755898572,0.048690787,9.397321987,1.629526462,0.559777115,0.559777115,0.737556038,0.737556038,0.682299371,0.605274951,0.66862978,0.457875386,0.602782071,0.867376573,0.765811966,0.791213027,27.20696178,0.0,5.350424298,21.85653749,214.064958,0.0,68.55662906,31.16210412,186.9726247,12.46484165,551.2,0.0,0.0,4.0,24.9296833,0.002949853,87557,86344,48836,29298,0.000679582,0.568341588,0.000635208,0.603475028,0.001306237,0.080022285,0.000859541,0.086565991,16,17,19,15,16.83333333,3002.787752,415575.8064,False,False,0.0,1.0,1.000000003895263,4.641394391014921,7.213031659834869,0.9447368421052632,0.9668037775067981,0.568610621994268,0.3303834808259587,0.07521367521367521,0.023931623931623933,0.023931623931623933,0.7196581196581197,0.15726495726495726,0.07521367521367521,0.015384615384615385,0.023931623931623933,0.13162393162393163,0.15726495726495726,0.10427350427350428,0.48376068376068376,0.008547008547008548,3.3395688191074866,0.0,1.8485216292550155,3.129237181015285,5.370940112728073,0.0,4.242141227414748,3.4707888687874533,5.2362963389294315,2.6000819660755847,1.6094379124341003,3.2553883858238453,0.002945510720933284,11.36610617801877,10.796243501276619,10.285308664729895,0.0006793511887168471,0.9450633985086343,0.4789515641517236,0.9507491161653673,0.5147569253020405,0.7768212457278587,0.49365854600060727,0.7829512656972486,1.3195079107728942,0.009950330853168083
1230 S Mayflower (Outside),0.3,103.0,PMS5003+PMS5003+BME280,False,False,False,0,False,9.61,60374309011,6,37,430901,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,111.2268759,0.0,111.2268759,111.2268759,1509,593.0,548.0,0.654,0.02919708,0.459854015,0.510948905,840,198,280,362,0.235714286,817,377,22,95,243,80,377,22,95,104,80,85,54,0,234,383,200,0.286413709,5.331445257,13.56686491,7.345347007,3.38946857,0.197793922,0.854110117,2.184723773,0.719250625,3.38946857,0.197793922,0.854110117,0.935025812,0.719250625,0.764203789,0.485494172,0.0,12.67679226,1.490875912,0.803136932,0.803136932,0.827030495,0.77392271,0.807734971,0.774576602,0.841329858,0.500956515,0.702493551,0.986119493,1.028151775,0.972240794,27.35579973,1.515532762,6.568009691,19.27225727,182.2638624,0.0,46.03204,23.01602,115.0801,51.78604499,0.0,0.020107374,0.393098045,5.33,30.66884665,0.00353214,275265,256737,118588,86030,0.000110938,0.402163162,0.00011762,0.499300846,6.44e-05,0.099343979,6.37e-05,0.085859226,19,18,19,20,19.16666667,3024.620797,450128.6139,False,False,0.0,1.0,1.0,4.720522500055137,7.31986492980897,0.924114671163575,0.912634420506942,0.7071249226721725,0.5566600397614314,0.4614443084455324,0.02692778457772338,0.11627906976744186,0.2974296205630355,0.09791921664626684,0.4614443084455324,0.02692778457772338,0.11627906976744186,0.12729498164014688,0.09791921664626684,0.10403916768665851,0.06609547123623011,0.0,3.344831585265051,0.9224846149153085,2.023930112272013,3.009253314401964,5.21092698538176,0.0,3.8508290715843687,3.1787211076689075,4.754280470050406,3.9662468563471474,1.8453002361560848,3.4553334421419057,0.0035259166437152704,12.455811388626492,11.683419012509088,11.362462975399982,0.00011093184683515366,0.9129357806321556,0.40462071902641106,0.9329024426196831,0.3809680778693595,0.7938055939747797,0.3805519426100057,0.7823096670980411,1.3423796509621049,2.3617969526258915
1381 Rock Haven St,0.04,124.0,PMS5003+PMS5003+BME280,False,False,False,1,False,10.17,60374820021,6,37,482002,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,146.1334574,0.0,146.1334574,146.1334574,1282,464.0,449.0,0.479,0.124721604,0.115812918,0.759465479,455,104,134,217,0.228571429,1416,19,60,374,570,393,19,60,374,413,393,5,152,0,258,841,317,0.18220339,3.175179786,8.772802771,9.689772795,0.130018138,0.410583593,2.559304397,3.900544134,2.689322534,0.130018138,0.410583593,2.559304397,2.826183732,2.689322534,0.034215299,1.040145102,0.0,12.86495258,3.153674833,0.786287362,0.786287362,0.780128351,0.730032388,0.844286892,0.629051607,0.655534861,0.422113579,0.95033358,0.486370925,0.321327684,0.507290066,17.69095006,0.0,0.0,17.69095006,83.24226509,0.0,0.0,0.0,91.97072484,21.89779163,0.0,0.0,0.0,6.0,26.27734995,0.004680187,426908,366604,146904,88627,0.000172053,0.623714134,0.000167954,0.712969644,7.98e-05,0.123064963,6.57e-05,0.088451071,19,17,13,20,17.0,3474.082108,591392.5745,False,False,0.0,1.0,1.0,4.99134004838027,7.1569563646156364,0.9676724137931034,1.423993444344777,0.2786370523111782,0.3549141965678627,0.013418079096045197,0.0423728813559322,0.2641242937853107,0.4025423728813559,0.2775423728813559,0.013418079096045197,0.0423728813559322,0.2641242937853107,0.2916666666666667,0.2775423728813559,0.0035310734463276836,0.10734463276836158,0.0,2.928039452706307,0.0,0.0,2.928039452706307,4.433696755996993,0.0,0.0,0.0,4.532284656930867,3.1310404705388257,1.9459101490553132,3.306056685661306,0.004669268977161836,12.812040253138159,11.897541398342431,11.392203113755167,0.00017203820058009424,0.9538905768632546,0.4192943739741926,0.9667342469794471,0.38922460729379366,0.8109861596005821,0.3817302150347679,0.7846397568581676,1.3423796509621049,2.413231613081109
1608 Wayne Ave,0.0,116.0,PMS5003+PMS5003+BME280,False,False,False,0,False,5.91,60374805001,6,37,480500,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,144.0214937,0.0,144.0214937,143.0546226,1438,561.0,561.0,0.606,0.0,0.351158645,0.648841355,699,131,190,378,0.187410587,372,147,16,1,198,10,147,16,1,138,10,22,38,0,151,121,100,0.405913978,3.921578974,10.05210439,2.600405309,1.027579517,0.11184539,0.006990337,1.384086697,0.069903369,1.027579517,0.11184539,0.006990337,0.964666486,0.069903369,0.153787411,0.2656328,0.0,6.521984283,0.663101604,0.590887487,0.590887487,0.710969289,0.665314378,0.586943885,0.655038265,0.728559075,0.688231703,0.411049724,0.694677871,1.879032258,0.415184509,20.12284669,0.0,4.976243694,15.14660299,84.46294846,0.0,26.66268695,17.77512463,66.65671736,4.443781158,346.01,0.0,0.0,8.33,37.01669704,0.005792768,347195,306479,626859,486579,0.000139927,0.507253152,0.000140409,0.596038841,0.000340315,0.525134643,0.000360486,0.485613116,13,14,13,17,14.5,3918.866654,582848.7782,False,False,0.0,1.0,0.9932866194124188,4.976881963849029,7.271703706887368,1.0,0.508684295157445,1.0574542161521934,0.4860917941585535,0.3951612903225806,0.043010752688172046,0.002688172043010753,0.532258064516129,0.026881720430107527,0.3951612903225806,0.043010752688172046,0.002688172043010753,0.3709677419354839,0.026881720430107527,0.05913978494623656,0.10215053763440861,0.0,3.0503552362135156,0.0,1.787792225780878,2.781709686367387,4.448082930673856,0.0,3.3200844636010554,2.932532835710723,4.214446645474436,1.6944738852303098,2.2332350148592526,3.638025459009798,0.005776054433595463,12.63290777937453,13.348478509196699,13.095156606966112,0.00013991721113047628,0.9343777225516257,0.4118504023811823,0.9495710293129574,0.4499747135681057,0.9376204413260589,0.45257320781815574,0.9303128951971582,1.2923922207808318,1.9329696377795786
16th Street Sand Section,11.84,77.0,PMS5003+PMS5003+BME280,False,False,False,0,False,13.38,60376203056,6,37,620305,6,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,36.4222929,0.0,36.4222929,36.06459,527,434.0,278.0,0.577,0.057553957,0.158273381,0.784172662,223,31,32,160,0.139013453,2184,87,561,53,436,1047,87,99,53,336,1047,0,100,462,555,815,814,0.254120879,12.03396462,14.61267132,60.55801549,2.412338529,15.55542431,1.469585541,12.08942068,29.03124644,2.412338529,2.745074878,1.469585541,9.316617768,29.03124644,0.0,2.772802907,12.81034943,72.59198011,7.856115108,0.771631541,0.771631541,0.754966,0.706485839,0.811622652,0.521239953,0.573732286,0.386405629,0.388786426,0.185292896,0.102106227,0.40742689,48.73684223,0.0,6.262967542,42.47387469,632.702616,0.0,140.5732477,35.14331191,228.4315274,351.4331191,127.41,0.0,0.0,4.0,70.28662383,0.007590133,245133,206369,152174,66063,9.88e-05,0.358140201,9.45e-05,0.401345409,8.26e-05,0.127479767,4.89e-05,0.065931862,19,16,20,20,19.16666667,1695.537439,147399.9816,False,False,0.0,1.0,0.9901790120412766,3.622266593688126,6.269096283706261,0.6405529953917051,2.18110819306351,0.09722310082189074,0.42314990512333966,0.03983516483516483,0.25686813186813184,0.024267399267399268,0.19963369963369965,0.4793956043956044,0.03983516483516483,0.04532967032967033,0.024267399267399268,0.15384615384615385,0.4793956043956044,0.0,0.045787545787545784,0.21153846153846154,3.906745950835239,0.0,1.9827884976618217,3.7721601758340433,6.451579784457293,0.0,4.952817234738033,3.5874919220831667,5.435604629428171,5.864860871201086,1.6094379124341003,4.266708705753085,0.007561472871951271,12.23742595318817,11.932786453362125,11.098379248125871,9.879511960145295e-05,0.9024129257130719,0.39586142242376526,0.912749975456171,0.3905692113075582,0.8138495470335109,0.3706217359503161,0.7619202813508666,1.3423796509621049,2.6658383522929006
CCA 15th and Manhattan Ave,0.0,104.0,PMS5003+PMS5003+BME280,False,False,False,1,False,0.23,60376203056,6,37,620305,6,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,36.4222929,0.0,36.4222929,36.06459,527,434.0,278.0,0.577,0.057553957,0.158273381,0.784172662,223,31,32,160,0.139013453,2184,87,561,53,436,1047,87,99,53,336,1047,0,100,462,555,815,814,0.254120879,12.03396462,14.61267132,60.55801549,2.412338529,15.55542431,1.469585541,12.08942068,29.03124644,2.412338529,2.745074878,1.469585541,9.316617768,29.03124644,0.0,2.772802907,12.81034943,72.59198011,7.856115108,0.771631541,0.771631541,0.754966,0.706485839,0.811622652,0.521239953,0.573732286,0.386405629,0.388786426,0.185292896,0.102106227,0.40742689,48.73684223,0.0,6.262967542,42.47387469,632.702616,0.0,140.5732477,35.14331191,228.4315274,351.4331191,127.41,0.0,0.0,4.0,70.28662383,0.007590133,245133,206369,152174,66063,9.88e-05,0.358140201,9.45e-05,0.401345409,8.26e-05,0.127479767,4.89e-05,0.065931862,19,16,20,20,19.16666667,1695.537439,147399.9816,False,False,0.0,1.0,0.9901790120412766,3.622266593688126,6.269096283706261,0.6405529953917051,2.18110819306351,0.09722310082189074,0.42314990512333966,0.03983516483516483,0.25686813186813184,0.024267399267399268,0.19963369963369965,0.4793956043956044,0.03983516483516483,0.04532967032967033,0.024267399267399268,0.15384615384615385,0.4793956043956044,0.0,0.045787545787545784,0.21153846153846154,3.906745950835239,0.0,1.9827884976618217,3.7721601758340433,6.451579784457293,0.0,4.952817234738033,3.5874919220831667,5.435604629428171,5.864860871201086,1.6094379124341003,4.266708705753085,0.007561472871951271,12.23742595318817,11.932786453362125,11.098379248125871,9.879511960145295e-05,0.9024129257130719,0.39586142242376526,0.912749975456171,0.3905692113075582,0.8138495470335109,0.3706217359503161,0.7619202813508666,1.3423796509621049,0.20701416938432615
171xx Escalon Dr,0.0,89.0,PMS5003+PMS5003+BME280,False,False,False,0,False,3.94,60371397024,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,0.031100478,0.123205742,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,2000.0,0.0,0.0,0.0,0.0,0.0,170601,140611,0,0,6.88e-05,0.249248679,6.44e-05,0.273459576,0.0,0.0,0.0,0.0,6,16,6,1,6.0,13400.99436,6351225.759,True,True,0.08589888909652336,0.9141011110946341,0.37051565661326474,7.3590774940497825,7.798933310041217,0.9521640091116174,0.1841142073686735,1.9408253922768806,0.41362330734509645,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.6035502958579881,0.09467455621301775,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.2781065088757396,0.09467455621301775,0.0,0.3254437869822485,0.0,1.9230520545928047,0.0,0.00022648135116249654,1.9230189475920478,2.8106958059224967,0.0,0.36888690428968124,0.0,3.08957911319817,0.8494550171934226,0.0,0.0,0.0,11.853759603223127,0.0,0.0,6.879763338854796e-05,0.8702885836372433,0.3809680778693595,0.8783939049498278,0.0,0.0,0.0,0.0,1.1962311988513155,1.597365331199831
"Encino, CA: Coronet Dr",13.86,65.0,PMS5003+PMS5003+BME280,False,False,False,37201,False,11.11,60371397024,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,0.031100478,0.123205742,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,2000.0,0.0,0.0,0.0,0.0,0.0,170601,140611,0,0,6.88e-05,0.249248679,6.44e-05,0.273459576,0.0,0.0,0.0,0.0,6,16,6,1,6.0,13400.99436,6351225.759,True,True,0.08589888909652336,0.9141011110946341,0.37051565661326474,7.3590774940497825,7.798933310041217,0.9521640091116174,0.1841142073686735,1.9408253922768806,0.41362330734509645,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.6035502958579881,0.09467455621301775,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.2781065088757396,0.09467455621301775,0.0,0.3254437869822485,0.0,1.9230520545928047,0.0,0.00022648135116249654,1.9230189475920478,2.8106958059224967,0.0,0.36888690428968124,0.0,3.08957911319817,0.8494550171934226,0.0,0.0,0.0,11.853759603223127,0.0,0.0,6.879763338854796e-05,0.8702885836372433,0.3809680778693595,0.8783939049498278,0.0,0.0,0.0,0.0,1.1962311988513155,2.494031557565001
"Encino, Luverne Pl",0.39,90.0,PMS5003+PMS5003+BME280,False,False,False,1,False,5.24,60371397024,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,0.031100478,0.123205742,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,2000.0,0.0,0.0,0.0,0.0,0.0,170601,140611,0,0,6.88e-05,0.249248679,6.44e-05,0.273459576,0.0,0.0,0.0,0.0,6,16,6,1,6.0,13400.99436,6351225.759,True,True,0.08589888909652336,0.9141011110946341,0.37051565661326474,7.3590774940497825,7.798933310041217,0.9521640091116174,0.1841142073686735,1.9408253922768806,0.41362330734509645,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.6035502958579881,0.09467455621301775,0.011834319526627219,0.05325443786982249,0.23668639053254437,0.2781065088757396,0.09467455621301775,0.0,0.3254437869822485,0.0,1.9230520545928047,0.0,0.00022648135116249654,1.9230189475920478,2.8106958059224967,0.0,0.36888690428968124,0.0,3.08957911319817,0.8494550171934226,0.0,0.0,0.0,11.853759603223127,0.0,0.0,6.879763338854796e-05,0.8702885836372433,0.3809680778693595,0.8783939049498278,0.0,0.0,0.0,0.0,1.1962311988513155,1.8309801823813363
