id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
26000.0,25999.0,30.053808,-95.494643, Villages of Bridgestone AQI B,,0.42,,,,,,,,,,,,,,,,,2022-02-12 21:40:32,,,,False,False,False,0.0,,,,,,,False,1.13,2.38,5.85,16.33,13.94,12.16
49410.0,49409.0,18.759182,99.017172,"""First's Place"" B",,45.59,,,,,,,,,,,,,,,,,2022-02-12 21:40:16,,,,False,False,False,1.0,,,,,,,False,45.1,45.42,45.11,42.1,37.21,33.68
42074.0,42073.0,47.185173,-122.176855,#1 B,,8.98,,,,,,,,,,,,,,,,,2022-02-12 21:39:32,,,,False,False,False,1.0,,,,,,,False,8.4,8.79,9.51,13.03,12.99,11.82
53070.0,53069.0,47.190197,-122.177992,#2 B,,8.23,,,,,,,,,,,,,,,,,2022-02-12 21:40:14,,,,False,False,False,1.0,,,,,,,False,8.14,8.48,9.44,14.08,14.27,12.94
94892.0,94891.0,40.160043,-79.272304,#9 B,,8.93,,,,,,,,,,,,,,,,,2022-02-12 21:41:18,,,,False,False,False,0.0,,,,,,,False,9.06,7.26,6.31,5.97,7.23,12.01
22752.0,22751.0,36.807377,-119.796109,#ValleyClimate B,,21.22,,,,,,,,,,,,,,,,,2022-02-12 21:40:23,,,,False,False,False,1.0,,,,,,,False,27.3,32.33,34.59,35.23,34.76,39.65
30756.0,30755.0,36.737668,-119.778839,'S' St Between Inyo and Mono B,,17.51,,,,,,,,,,,,,,,,,2022-02-12 21:39:35,,,,False,False,False,1.0,,,,,,,False,20.81,26.5,30.62,35.45,35.59,37.97
122944.0,122943.0,38.524431,-121.439374,(AMTS_SCANS_044) B,,4.83,,,,,,,,,,,,,,,,,2022-02-12 21:40:36,,,,False,True,False,0.0,,,,,,,False,5.69,6.27,7.38,9.49,9.77,12.83
26942.0,26941.0,29.957206,-90.021706,(Indoor)The Lower 9th Ward Center for Sustainable Engagement and Development B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:45,,,,False,False,False,0.0,,,,,,,False,,,,,,
118438.0,118437.0,38.801826,-121.265809,*Checks before every breath* B,,,,,,,,,,,,,,,,,,,2022-02-12 21:39:42,,,,False,False,False,1.0,,,,,,,False,,,,,,
11679.0,11678.0,32.628574,-115.551331,*Santo Niño B,,10.66,,,,,,,,,,,,,,,,,2022-02-12 21:40:46,,,,False,False,False,0.0,,,,,,,False,31.87,19.18,14.63,20.28,20.59,28.82
39626.0,39625.0,37.509889,-122.317735,-------{---(@ B,,14.71,,,,,,,,,,,,,,,,,2022-02-12 21:40:18,,,,False,False,False,1.0,,,,,,,False,15.18,15.62,16.13,11.84,7.68,8.43
90596.0,90595.0,47.692327,-122.186845,///Pies.Pots.Hails B,,2.75,,,,,,,,,,,,,,,,,2022-02-12 21:41:25,,,,False,False,False,0.0,,,,,,,False,3.06,3.63,5.17,9.41,10.07,8.89
44564.0,44563.0,34.10921,-117.634656,003 FK Parking Lot B,,0.28,,,,,,,,,,,,,,,,,2022-02-12 21:40:52,,,,False,False,False,0.0,,,,,,,False,0.13,0.2,0.49,1.83,2.45,9.14
44578.0,44577.0,34.109474,-117.635981,005- FK Shelby Forest B,,1.02,,,,,,,,,,,,,,,,,2022-02-12 00:04:23,,,,False,False,False,1297.0,,,,,,,False,0.57,0.55,0.89,1.85,5.54,15.44
66672.0,66671.0,37.414402,-122.022742,01 B,,,,,,,,,,,,,,,,,,,2022-02-12 21:39:50,,,,False,False,False,1.0,,,,,,,False,,,,,,
88254.0,88253.0,37.415416,-122.0259,02 B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:18,,,,False,False,False,1.0,,,,,,,False,,,,,,
100338.0,100337.0,37.412039,-122.028249,03 B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:07,,,,False,False,False,1.0,,,,,,,False,,,,,,
57852.0,57851.0,48.015288,-66.705327,05 B,,20.04,,,,,,,,,,,,,,,,,2022-02-12 21:40:01,,,,False,False,False,1.0,,,,,,,False,20.89,18.87,17.05,12.53,9.99,7.61
131362.0,131361.0,79.99028,-85.93917,0PAL (Eureka) B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:40:01,,,,False,False,False,1.0,,,,,,,False,0.34,0.23,0.26,0.27,0.19,0.91
124850.0,124849.0,38.71954,-121.097453,0utrigger 1 B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:18,,,,False,False,False,0.0,,,,,,,False,,,,,,
125748.0,125747.0,37.787244,-122.422552,1 Daniel Burnham Ct B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:05,,,,False,False,False,0.0,,,,,,,False,,,,,,
69630.0,69629.0,38.223993,-122.659176,1 Iverson Way B,,16.5,,,,,,,,,,,,,,,,,2022-02-12 21:40:35,,,,False,False,False,0.0,,,,,,,False,17.81,18.23,18.44,12.78,9.49,10.88
72040.0,72039.0,37.792405,-122.397797,1 Pine Street B,,,,,,,,,,,,,,,,,,,2022-02-12 21:39:36,,,,False,False,False,1.0,,,,,,,False,,,,,,
